Episode,Fragment,Predicted Emotion,Actual Emotions,Correct
1,2,fear,"['happiness', 'surprise']",False
1,16,fear,['happiness'],False
1,18,happiness,['disgust'],False
1,20,fear,"['sadness', 'happiness']",False
1,22,happiness,['happiness'],True
1,36,fear,"['sadness', 'fear', 'happiness', 'surprise']",True
1,38,happiness,"['anger', 'happiness', 'surprise']",True
1,40,happiness,['happiness'],True
1,41,happiness,"['sadness', 'happiness']",True
1,42,happiness,['happiness'],True
1,44,fear,['happiness'],False
1,45,happiness,"['fear', 'surprise']",False
1,47,happiness,"['happiness', 'surprise']",True
1,48,anger,"['happiness', 'surprise']",False
1,50,fear,['happiness'],False
1,51,fear,"['disgust', 'happiness']",False
1,52,happiness,['happiness'],True
1,53,happiness,['happiness'],True
1,54,fear,['fear'],True
1,55,fear,['sadness'],False
2,3,happiness,"['sadness', 'fear', 'disgust', 'happiness']",True
2,4,happiness,['happiness'],True
2,5,fear,['surprise'],False
2,7,fear,['surprise'],False
2,8,happiness,"['happiness', 'surprise']",True
2,10,anger,['happiness'],False
2,11,anger,"['happiness', 'surprise']",False
2,12,happiness,"['sadness', 'happiness']",True
2,13,sadness,['happiness'],False
2,14,happiness,['sadness'],False
2,16,fear,"['sadness', 'surprise']",False
2,17,happiness,['happiness'],True
2,18,surprise,"['disgust', 'happiness']",False
2,20,happiness,['happiness'],True
2,21,fear,"['sadness', 'anger']",False
2,22,fear,['happiness'],False
2,23,fear,['sadness'],False
2,24,sadness,"['happiness', 'anger']",False
2,25,fear,"['sadness', 'surprise']",False
2,28,fear,['happiness'],False
2,29,anger,"['happiness', 'surprise']",False
2,30,fear,"['sadness', 'surprise']",False
2,31,fear,['happiness'],False
2,32,happiness,['happiness'],True
2,33,fear,['surprise'],False
2,34,fear,['surprise'],False
2,35,fear,"['sadness', 'surprise']",False
2,36,surprise,['surprise'],True
2,40,happiness,"['sadness', 'happiness', 'surprise']",True
2,41,anger,"['surprise', 'sadness', 'happiness', 'anger']",True
3,2,happiness,"['anger', 'surprise']",False
3,3,fear,"['anger', 'surprise']",False
3,4,happiness,['happiness'],True
3,5,happiness,['surprise'],False
3,7,fear,"['happiness', 'surprise']",False
3,10,happiness,['happiness'],True
3,11,anger,"['sadness', 'happiness', 'surprise']",False
3,12,happiness,['happiness'],True
3,13,happiness,['happiness'],True
3,14,happiness,"['sadness', 'happiness', 'surprise']",True
3,15,happiness,"['sadness', 'anger']",False
3,16,happiness,['happiness'],True
3,17,fear,"['sadness', 'happiness', 'anger']",False
3,18,happiness,['happiness'],True
3,19,fear,['sadness'],False
3,20,happiness,"['happiness', 'surprise']",True
3,23,happiness,[],False
3,24,fear,"['sadness', 'happiness']",False
3,25,happiness,['happiness'],True
3,26,happiness,['happiness'],True
3,27,happiness,['sadness'],False
3,29,fear,"['sadness', 'disgust', 'happiness']",False
3,30,fear,['surprise'],False
3,31,fear,['surprise'],False
3,32,fear,"['fear', 'anger']",True
3,37,happiness,"['sadness', 'anger']",False
3,38,fear,['anger'],False
4,2,fear,['sadness'],False
4,3,fear,['sadness'],False
4,7,fear,"['happiness', 'surprise']",False
4,9,fear,"['happiness', 'surprise']",False
4,10,fear,"['sadness', 'fear', 'happiness', 'surprise']",True
4,11,happiness,['happiness'],True
4,12,fear,"['sadness', 'happiness', 'surprise']",False
4,15,happiness,['happiness'],True
