id,emotion
0,anger
1,disgust
2,disgust
3,disgust
4,anger
5,anger
6,disgust
7,anger
8,anger
9,disgust
10,anger
11,disgust
12,disgust
13,disgust
14,anger
15,anger
16,disgust
17,disgust
18,disgust
19,disgust
20,disgust
21,disgust
22,disgust
23,disgust
24,disgust
25,disgust
26,disgust
27,disgust
28,disgust
29,anger
30,disgust
31,anger
32,disgust
33,anger
34,anger
35,disgust
36,anger
37,disgust
38,disgust
39,disgust
40,anger
41,disgust
42,disgust
43,anger
44,disgust
45,disgust
46,anger
47,disgust
48,disgust
49,disgust
50,disgust
51,anger
52,anger
53,anger
54,anger
55,disgust
56,anger
57,disgust
58,anger
59,disgust
60,disgust
61,anger
62,disgust
63,disgust
64,anger
65,disgust
66,disgust
67,anger
68,disgust
69,disgust
70,disgust
71,disgust
72,disgust
73,disgust
74,disgust
75,anger
76,anger
77,disgust
78,disgust
79,disgust
80,disgust
81,anger
82,disgust
83,anger
84,anger
85,disgust
86,disgust
87,anger
88,disgust
89,disgust
90,disgust
91,disgust
92,anger
93,anger
94,anger
95,anger
96,anger
97,disgust
98,disgust
99,disgust
100,disgust
101,anger
102,anger
103,disgust
104,anger
105,anger
106,anger
107,disgust
108,anger
109,disgust
110,disgust
111,disgust
112,anger
113,anger
114,anger
115,disgust
116,disgust
117,anger
118,disgust
119,disgust
120,anger
121,anger
122,disgust
123,disgust
124,disgust
125,anger
126,disgust
127,disgust
128,disgust
129,disgust
130,anger
131,disgust
132,anger
133,disgust
134,disgust
135,disgust
136,disgust
137,disgust
138,disgust
139,anger
140,anger
141,disgust
142,disgust
143,anger
144,disgust
145,anger
146,anger
147,disgust
148,anger
149,disgust
150,anger
151,disgust
152,anger
153,disgust
154,anger
155,anger
156,disgust
157,disgust
158,anger
159,anger
160,anger
161,disgust
162,anger
163,anger
164,disgust
165,disgust
166,disgust
167,disgust
168,disgust
169,disgust
170,disgust
171,disgust
172,disgust
173,disgust
174,anger
175,disgust
176,disgust
177,disgust
178,disgust
179,anger
180,disgust
181,disgust
182,anger
183,disgust
184,disgust
185,disgust
186,disgust
187,anger
188,anger
189,disgust
190,anger
191,disgust
192,disgust
193,disgust
194,anger
195,anger
196,anger
197,anger
198,disgust
199,disgust
200,disgust
201,disgust
202,anger
203,anger
204,disgust
205,anger
206,disgust
207,anger
208,disgust
209,disgust
210,disgust
211,disgust
212,disgust
213,anger
214,anger
215,disgust
216,disgust
217,disgust
218,disgust
219,anger
220,anger
221,disgust
222,anger
223,anger
224,disgust
225,disgust
226,disgust
227,disgust
228,disgust
229,disgust
230,disgust
231,anger
232,anger
233,anger
234,disgust
235,disgust
236,disgust
237,disgust
238,disgust
239,disgust
240,disgust
241,disgust
242,anger
243,disgust
244,anger
245,disgust
246,disgust
247,disgust
248,anger
249,anger
250,disgust
251,disgust
252,disgust
253,disgust
254,disgust
255,anger
256,anger
257,disgust
258,disgust
259,anger
260,disgust
261,disgust
262,anger
263,anger
264,disgust
265,anger
266,disgust
267,disgust
268,disgust
269,disgust
270,disgust
271,anger
272,anger
273,disgust
274,disgust
275,disgust
276,disgust
277,disgust
278,disgust
279,disgust
280,disgust
281,anger
282,disgust
283,disgust
284,anger
285,anger
286,disgust
287,disgust
288,anger
289,disgust
290,disgust
291,disgust
292,disgust
293,disgust
294,disgust
295,anger
296,disgust
297,anger
298,disgust
299,disgust
300,anger
301,anger
302,disgust
303,anger
304,disgust
305,anger
306,disgust
307,anger
308,disgust
309,disgust
310,disgust
311,disgust
312,anger
313,disgust
314,disgust
315,disgust
316,disgust
317,disgust
318,disgust
319,anger
320,disgust
321,disgust
322,disgust
323,disgust
324,anger
325,disgust
326,disgust
327,anger
328,disgust
329,disgust
330,anger
331,disgust
332,anger
333,disgust
334,disgust
335,anger
336,disgust
337,disgust
338,disgust
339,disgust
340,disgust
341,disgust
342,disgust
343,anger
344,anger
345,anger
346,disgust
347,disgust
