id,emotion
0,4
1,0
2,2
3,2
4,0
5,0
6,4
7,3
8,1
9,4
10,2
11,0
12,3
13,0
14,5
15,2
16,0
17,0
18,0
19,1
20,5
21,2
22,0
23,3
24,5
25,0
26,4
27,1
28,0
29,0
30,0
31,3
32,2
33,3
34,5
35,2
36,0
37,3
38,5
39,0
40,1
41,0
42,3
43,1
44,3
45,5
46,4
47,0
48,1
49,4
50,0
51,4
52,4
53,0
54,0
55,3
56,1
57,4
58,2
59,1
60,1
61,4
62,3
63,1
64,2
65,5
66,0
67,3
68,1
69,4
70,3
71,3
72,1
73,3
74,0
75,1
76,0
77,0
78,1
79,4
80,3
81,0
82,2
83,0
84,1
85,0
86,1
87,0
88,4
89,1
90,1
91,4
92,3
93,2
94,2
95,2
96,2
97,3
98,4
99,1
100,0
101,4
102,0
103,0
104,4
105,5
106,3
107,2
108,0
109,1
110,2
111,1
112,5
113,1
114,5
115,3
116,0
117,5
118,5
119,5
120,4
121,2
122,1
123,0
124,3
125,1
126,3
127,3
128,3
129,1
130,4
131,5
132,2
133,5
134,1
135,4
136,1
137,1
138,5
139,5
140,4
141,1
142,5
143,5
144,2
145,1
146,1
147,0
148,2
149,0
150,0
151,3
152,0
153,5
154,2
155,0
156,5
157,3
158,3
159,3
160,3
161,1
162,3
163,1
164,2
165,3
166,5
167,2
168,0
169,2
170,4
171,3
172,1
173,2
174,1
175,0
176,3
177,1
178,1
179,4
180,5
181,0
182,2
183,3
184,0
185,4
186,5
187,2
188,4
189,3
190,5
191,3
192,3
193,1
194,4
195,2
196,4
197,5
198,1
199,3
200,0
201,3
202,2
203,5
204,1
205,0
206,3
207,3
208,4
209,5
210,0
211,4
212,4
213,5
214,3
215,1
216,3
217,3
218,0
219,4
220,0
221,3
222,1
223,2
224,0
225,4
226,4
227,2
228,5
229,5
230,1
231,4
232,3
233,4
234,3
235,5
236,3
237,4
238,5
239,1
240,0
241,4
242,0
243,0
244,3
245,5
246,4
247,3
248,4
249,2
250,5
251,2
252,3
253,1
254,2
255,0
256,2
257,0
258,3
259,1
260,3
261,4
262,3
263,5
264,3
265,3
266,3
267,0
268,4
269,1
