id,emotion
0,3
1,5
2,1
3,1
4,5
5,4
6,1
7,3
8,4
9,2
10,2
11,3
12,0
13,3
14,0
15,0
16,2
17,2
18,2
19,2
20,2
21,4
22,1
23,3
24,4
25,1
26,3
27,3
28,1
29,0
30,1
31,0
32,3
33,0
34,2
35,5
36,4
37,5
38,2
39,5
40,0
41,2
42,4
43,0
44,1
45,2
46,5
47,4
48,4
49,2
50,1
51,0
52,5
53,0
54,0
55,2
56,2
57,1
58,2
59,5
60,3
61,1
62,4
63,5
64,5
65,1
66,3
67,2
68,1
69,1
70,2
71,0
72,1
73,3
74,5
75,2
76,4
77,3
78,3
79,1
80,1
81,4
82,1
83,3
84,5
85,1
86,5
87,3
88,4
89,5
90,1
91,4
92,4
93,3
94,3
95,2
96,3
97,4
98,2
99,5
100,3
101,4
102,2
103,0
104,5
105,2
106,0
107,5
108,1
109,4
110,4
111,3
112,1
113,0
114,3
115,1
116,4
117,5
118,1
119,2
120,5
121,0
122,3
123,1
124,1
125,4
126,1
127,5
128,3
129,1
130,0
131,1
132,2
133,4
134,1
135,1
136,1
137,5
138,1
139,3
140,3
141,5
142,2
143,2
144,2
145,0
146,2
147,1
148,0
149,3
150,0
151,1
152,5
153,5
154,2
155,1
156,1
157,2
158,5
159,1
160,0
161,2
162,4
163,1
164,1
165,4
166,3
167,5
168,2
169,5
170,1
171,2
172,2
173,5
174,3
175,4
176,2
177,4
178,3
179,0
180,2
181,1
182,0
183,2
184,5
185,3
186,3
187,3
188,3
189,1
190,0
191,2
192,2
193,1
194,0
195,0
196,1
197,3
198,1
199,1
200,1
201,3
202,0
203,3
204,2
205,1
206,5
207,5
208,5
209,1
210,1
211,5
212,2
213,2
214,0
215,1
216,4
217,3
218,1
219,0
220,5
221,3
222,0
223,2
224,2
225,2
226,4
227,5
228,5
229,2
230,3
231,3
232,2
233,2
234,5
235,3
236,1
237,2
238,4
239,0
240,3
241,1
242,3
243,4
244,4
245,3
246,1
247,2
248,2
249,3
250,1
251,4
252,0
253,3
254,3
255,2
256,0
257,4
258,0
259,4
260,1
261,1
