id	sentence
0	Girls are happy when they get flowers
1	His jaw dropped in disbelief when he saw the price of the concert tickets.
2	Sometimes the ugly stench makes me wanna throw up.
3	The foul odor from the garbage bin was disgusting.
4	I can’t believe it, they lost the game in the last minute.
5	Feeling dismissed or belittled fuels my frustration.
6	The food in that restaurant made me feel like vomiting.
7	John is really excited for the festival next week.
8	Having a colleaguethat is a freeloader. makes me feel let down.
9	 Walking alone in the dark forest sends shivers down my spine and fills me with fear.
10	I sprained my ankle
11	I love waking up to a warm cup of coffee, knowing it's finally weekend.
12	When I do not get something right the first time, I get frustrated.
13	A clear blue sky lifts my mood.
14	I told you a thousand times before to leave me alone and mind your own business!
15	Paul started to resent Lola after all the broken promises.
16	The snake gave everyone a fright.
17	Hearing footsteps behind her in the deserted street made her heart race with fear.
18	My neighbor got nervous when there was a break-in at his house last night.
19	Insects are crawling under my skeen
20	The mere thought of ghosts wandering in the attic gives me goosebumps.
21	I got rejected by the university I want to go to, I feel terrible.
22	That foul smell coming from the bin is enough to make anyone feel disgusted.
23	My parents are happy when they are at sea.
24	Rainy days make me feel depressed.
25	The taste of the spoiled milk left a lingering disgust, reminding me to double-check expiration dates in the future.
26	She bought a new house, so she is over the moon now.
27	I am enthusiastic about the new block!
28	She felt betrayed by her family.
29	I lost my temper and shouted at my dog for making a mess.
30	There is no time for anything here, just work and work.
31	It infuriates me when the trains get cancelled.
32	Receiving an unexpected gift on a regular day filled me with wonder.
33	Stealing makes me furious.
34	Hearing sudden noise from the attic at night makes my heart race with fear.  
35	Opening a box that has some old memorabilia 
36	He feels guilty for lying to her.
37	She was flabbergasted when she saw her favorite celebrity star in the mall.
38	I froze with fear when I saw a dark shape in the corner of the room.
39	I went to the dentist and it turned out he was a hedgehog, who would have expected that?
40	Road jams are just frustrating, leaving me annoyed and impatient.
41	The eerie silence in the old haunted house made my heart race with fear.
42	Seeing animals in distress makes me cry.
43	I no longer have the will to live.
44	The mess from the carnival was revolting. 
45	I have fear of heights.
46	They lost my parcel in transit !
47	Every morning, I feel lonely and can hardly eat because of too much stress.
48	The family cried when the grandfather passed away.
49	I'm worried about what grade I will receive for my exam.
50	I have a strong aversion against vegetables.
51	When I loose my keys I get mad at myself.
52	I can't believe you remembered my favourite song for karaoke night!
53	Kyle angrily closed the door when he was grounded by his parents.
54	Repeatedly hitting the malfunctioning computer out of sheer anger only worsened the situation.
55	Eerie sounds in the abandoned house intensified Mary's fear during the ghost tour.
56	Heart pounding, she hugged her knees tightly, fearing what lurked in the shadows.
57	Jenna cringed at the overflowing trash bin's pungent odor in the neglected apartment.
58	I get anxious near the end of the block.
59	The ending of the book surprised me.
60	Satisfaction from arriving home to your wife and 1 loving daughter is irreplaceable for most people.
61	Discovering a dent on his car caused an immediate surge of frustration. 
62	My friend cried watching a rom-com movie.
63	The plot twist at the end of the movie left us all in disbelief.
64	I felt surprised when I was told I am going to get promoted.
65	The way they treat each other is sickening.
66	We love to cook together every Sunday.
67	The sound of thunder made him cower under the covers, gripped by irrational fear. 
68	I'm repelled by people not using deodorant.
69	Seeing a car approaching faster than expected while crossing the road makes you sweat.
70	Walking in the dark is really scary
71	I often feel disgusted using the public restrooms.
72	Taste of tomatoes sickens me.
73	My sister is excited to watch the new Spiderman movie.
74	My friend came all the way from another continent to surprise me.
75	I was afraid that this would happen.
76	I lost my house in the casino, I feel bad about it.
77	Hearing her laughter echo through the house brought a sense of happiness that warmed every corner of my heart.
78	I love trying new activities.
79	The smell of rotten food in the trash can makes me gag.
80	I find it dusgusting when my kitchen is not cleaned.
81	I regret the things I said to you.
82	Seeing a big cockroach in the kitchen made me feel really grossed out.
83	He felt relieved after passing this block.
84	I can't believe how much you've grown since we last met!
85	Her mother was disappointed when her son started drinking after promising he wouldn't
86	Finding a bouquet of flowers on my doorstep left me happily taken aback.
87	I've been feeling blue ever since I moved.
88	After moving abroad Emily felt a deep sense of loneliness without her family nearby.
89	I was surprised to see my best friend with my ex.
90	I hate eating broccoli, it is disgusting.
91	The lonely puppy let out a plaintive whimper, expressing a profound feeling of abandonment and sorrow.
92	The cancellation of the event last minute was frustrating.
93	Thank you for the gift guys ! 
94	Jake is proud he got a good grade for his essay,
95	They threatened to snitch on her.
96	I am glad to see you!
97	She got rejected for an internship.
98	I was distraught at the sight of the lost child.
99	I was amazed by her skillful singing!
100	I really like dancing at a party.
101	Anthony felt hurt when someone made fun of him.
102	When I see a spider I run the opposite direction
103	I hate having to explain concepts multiple times over
104	How on Earth is this correct?
105	When I'm scared, I always sit downstairs so I'm on guard.
106	I was flabberghasted when my friends kept a suprise party for me
107	The size of that statue astonished me.
108	It enfuriates me, when I don't win.
109	Failing to achieve my goals has left me feeling quite despondent.
110	I feel sad when I know I have to wake up early the next day.
111	Spending time with friends is so fun!
112	The lack of accountability in certain situations makes me seethe with frustration.
113	Get out of the classroom!
114	I am extremely proud of this achievement!
115	Seeing disregard for the environment fills me with a sense of revulsion.
116	Feeling lonely in a crowded room, she struggled to hide the ache in her heart.
117	I cannot believe that you booked this trip, it will be so much fun.
118	Brussel sprouts taste like dirt.
119	I'm afraid of swimming in deep waters.
120	Why can't I ever seem to do anything right?!
121	Finding out someone had spread false rumors about me sparked an intense anger, demanding justice and correction.
122	I am happy when I am spending time with my friends.
123	The man spat out his food when he saw it contained a hair.
124	Sam feels sick when he smells the stinky garbage.
125	The public feels betrayed by the minister's decision.
126	My friend was disgusted by the fact that some people don’t wash their hands after using the bathroom.
127	I was taken aback by the sudden thunderstorm after such a sunny day.
128	I love to drink a coffee in the morning!
129	With a disgusted sigh, she hastily wiped the grime off her hands after touching the sticky doorknob.
130	The waitress seems to be very annoyed by her boss.
131	What is that foul smell looming around the pasture?
132	I am scared that she will take my kids.
133	Dropping my ice cream makes me feel sad.
134	The smell in here is disturbing.
135	Loosing a friend is an awful thing.
136	She abhors injustice in any form, finding it utterly despicable.
137	When the lights went out, the surprise birthday cake appeared, leaving me speechless.
138	Ben feels icky when someone runs their fingernail across the board.
139	I feel safe and content in your vicinity.
140	This trip ended up being way better than I thought.
141	Discovering hidden talents within oneself can be astonishing.
142	Seeing the shadowy figure in the alley, a shiver ran down the boy's spine, fear intensifying in the dim light.
143	She was shivering, afraid she might break.
144	Darkness scares me.
145	I clenched my fists in rage when I saw the scratch on my brand new car.
146	Seeing unleashed vicous dog approaching is terrifying 
147	I'm out of coffee.
148	I get angry when I do not win my matches.
149	I enjoy spending time with my family.
150	Can you stop doing that?
151	I detest eating green milkshakes.
152	It was such a coincidence that my friend also goes to my class.
153	I am surprised by an unexpected meeting with an old acquaintance.
154	The traffic was a nightmare, and it made me really upset.
155	I don't want to be here alone.
